line_item,next_line
sales,Returnsandallowances
returns_and_allowances,cBalanceSubtractline1b
net_sales,2Costofgoodssoldattach
cogs,3GrossprofitSubtract
gross_profit,4Dividendsandinclusions
dividend_revenue,85Interest5
interest_revenue,6Grossrents6
rent_revenue,7Grossroyalties7
royalty_revenue,8Capitalgainnetincome
capital_gain_revenue,9Netgainorloss
net_gain_or_loss_revenue,10Otherincome
other_income_revenue,11Totalincome
total_income,z12Compensationofofficers
officer_compensation_expense,13Salariesandwages
salaries_and_wages_expense,314Repairsandmaintenance
repairs_and_maintenence_expense,315Baddebts15
bad_debt_expense,216Rents16
rent_expense,17Taxesandlicenses17
taxes_and_licenses_expense,s18Interestseeinstructions18
interest_expense,19Charitablecontributions
charitable_contributions_expense,20DepreciationfromForm
depreciation_expense,21Depletion21
depletion_expense,g22AdvertisingLo22
advertising_expense,323Pensionprofitsharing
pension_expense,z24Employeebenefit
employee_benefits_expense,225Reservedforfutureuse
reserved_for_future_use_expense,326Otherdeduction
other_deductions_expense,27‘Totaldeductions
total_operating_expense,828Taxableincome
taxable_income_before_other_deductions,S29aNetoperatingloss
net_operating_loss_deduction,3bSpecialdeductions
special_deduction,cAddlines29aand29
total_other_deductions,230Taxableincome
taxable_income,531TotaltaxSchedule
income_tax_expense,332Reservedforfutureuse
income_tax_paid,4é34Estimatedtaxpenalty
estimated_tax_penalty,335AmountowedIfline
income_tax_owed,x36OverpaymentIfline
income_tax_overpaid,37Enteramountfromline
